"request"
"통증이 심해지고 있어서 진통제를 받을 수 있을까요? 또한, 가슴 통증이 있어서 심전도 검사가 필요해 보입니다."
"체온이 높아진 것 같아 열을 재주실 수 있나요? 그리고 수액이 떨어져가고 있어서 교체가 필요합니다."
"혈압을 측정해 주세요. 동시에 혈당 체크도 해야 할 시간인 것 같습니다."
"방에 좀 더 따뜻한 이불을 가져다주세요. 저녁에 추가로 담요도 필요할 것 같습니다."
"병원비 명세서를 요청합니다. 그리고 응급실 이용 절차에 대해 설명해주세요."
"피부 발진이 생겼습니다 의사 선생님께 보여주세요. 알레르기 반응도 확인하고 싶습니다."
"병실의 온도를 조절해주세요. 또한, 창문 커튼을 치워 주실 수 있나요?"
"혈당이 계속 떨어지는 것 같아서 당 조절 약을 주실 수 있나요? 또한, 정기적인 혈당 검사도 예약해주세요."
"목이 계속 아프고 열도 나는데, 인후염 검사와 함께 해열제를 줄 수 있을까요?"
"다리에 부종이 있어서 압박 스타킹이 필요해요. 또한, 부종 감소를 위한 마사지도 받고 싶습니다."
"불면증이 심해져서 잠들기 위한 수면제 요청합니다. 또한, 수면 클리닉 예약을 도와주세요."
"배액관이 막혔습니다. 교체 부탁드리고, 감염 예방을 위해 항생제도 투약해주세요."
"허리가 계속 아파서 통증 완화를 위한 물리치료를 받고 싶어요. 또한, MRI 검사도 예약해주세요."
"오늘 아침에 거동이 불편해졌습니다. 휠체어를 지원해 주시고, 이동을 도와주세요."
"식욕이 없어서 영양 상담을 받고 싶습니다. 또한, 맞춤형 식단 계획도 세워주세요."
"두통이 심해져서 진통제를 추가로 요청합니다. 또한, 신경과 상담을 예약할 수 있나요?"
"발에 물집이 생겨서 상처 치료와 함께 드레싱 교체를 해주세요. 또한, 상처 부위의 감염 여부도 검사해주세요."
"최근 귀에서 이명이 들리기 시작했습니다. 청력 검사와 함께 이비인후과 상담을 예약해주세요."
"호흡이 가끔 가빠집니다. 호흡기 전문의와 상담이 필요해 보이며, 흉부 X-ray 검사도 부탁드립니다."
"장시간 앉아있는 것이 힘들어요. 침대 각도 조절을 도와주시고, 정기적인 체위 변경도 부탁드립니다."
"약 복용 시간이 기억이 안 나는데, 약 복용 일정표를 다시 제공해주시고, 약을 준비해주세요."
"최근에 체중이 갑자기 많이 빠졌어요. 영양 상태를 점검하고, 영양제 투여도 필요합니다."
"피부가 건조하고 가려움증이 심해졌습니다. 피부과 상담과 보습제 추천을 받고 싶습니다."
"소화가 잘 안 되어 속이 불편합니다. 소화제를 요청하고, 위장과 상담도 예약해주세요."
"얼굴에 발진이 생겼는데 알레르기 검사와 함께 피부과 전문의의 진료를 받고 싶어요."
"다리에 지속적으로 통증이 있어서 초음파 검사를 요청하고 싶습니다. 또한, 통증 관리 전문가와 상담이 필요해요."
"근육 경련이 자주 일어나는데, 마그네슘 보충제를 요청합니다. 또한, 이에 대한 원인 분석을 위한 검사도 받고 싶어요."
